일자,거래처,배색번호,품명,색상,호기,투입량,WIDTH,투입량.1,승온속도,평균염색온도,온도표준편차,염색시간(분),냉각속도,Water,투입량.2,온도,width(Inch),RPM,합격량(Y),불량수량,불량률(%)
2025-10-01,(주)앤디아이,2508-0025-1,C/P30 2/2TWILL(리사이클),#08-8 CHARCOAL,RAPID 5호,608,57,608,0.11,39,0.7,40,0.07,320.2,608,170,57,40,517,0,0
2025-10-01,(주)에스엠글로벌,2509-0684-0,P75ASK이중지1W도전사(3243,BLUE,RAPID 18호,989,45,989,0.95,120,13.1,36,1.3,430,989,200,47,40,865,0,0
2025-10-01,(주)영우,2509-0521-0,C/NN40PL 1W(나리민트,#5142,RAPID 4호,974,45,974,1,90,5,24,0.78,246,974,195,46,90,898,0,0
2025-10-01,(주)영우,2509-0522-0,C/NN40PL 1W(나리민트,#5142,RAPID 4호,981,45,981,1,90,4.8,25,0.58,246,981,195,46,90,702,0,0
2025-10-02,(주)신흥,2509-0687-0,SW-30411T(N/NNC30DOBBY 2W,GRISAILLE,RAPID 18호,1200,53,1200,0.63,97,11.7,23,1.13,419,1200,195,52.5,35,815,0,0
2025-10-02,(주)예성텍스타일,2509-0483-1,N/C20FD 2/2TW (YNC258-1),LAUREL OAK,RAPID 5호,602,56,602,0.95,89,9.9,27,0.79,320.2,602,180,58,50,534,8,1.5
2025-10-02,호성무역,2509-0371-0,N70/210 TWILL (EONN-1791),GR-상,RAPID 18호,1023,56,1023,0.98,130,13.1,34,1.35,424,1023,170,62,50,654,27,4
2025-10-03,SK 애드원텍스타,2509-0402-0,N/C30FD DOBBY,BE-LBE,RAPID 4호,980,57,980,0.9,90,6.5,26,1,251,980,180,57,50,882,0,0
2025-10-10,(주)구주글로벌,2509-0220-0,KCSP-2153(C/N20PL 1W,BLUE GRAPHITE,RAPID 4호,1204,54,1204,1.1,90,6.5,25,1.11,283,1204,195,55,95,1082,13,1.2
2025-10-10,(주)신흥,2509-0686-0,SW-30411T(N/NNC30DOBBY 2W,GRISAILLE,RAPID 18호,1162,53,1162,0.6,90,10.3,29,1.23,422,1162,195,52.5,35,651,8,1.2
2025-10-10,(주)텍스에버플러스,2508-0460-0,P/C30 1/3MATT REC(TN23R-038),34700 CAMEL,RAPID 18호,765,58,765,1.13,130,6.9,27,1.47,443,765,160,58,40,685,0,0
2025-10-10,(주)텍스컴,2509-0390-0,C/C60 PLAIN (TC-6194392/1),BK-TJ10,RAPID 5호,560,60,560,1.078939618,55,13.2,23,0.3,320.2,560,160,61,40,487,0,0
2025-10-11,(주)에스지인터,2508-0161-0,N/C20FD 2/2TW,#2091(#PS),RAPID 18호,753,59,753,1,61,1,59,0.59,351,753,180,58,50,103,0,0
